CIEL ID,Reason,Action,Spanish name,OpenMRS name UUID
121960,preferred_short_invalid_in_openmrs,demoted_short,IAM,077b1939-ddda-56f9-b32e-a53f0fe9f981
121960,preferred_short_invalid_in_openmrs,added_clear_preferred_spanish_synonym,Infarto agudo de miocardio (IAM),66115bf0-9913-599a-a250-323eafcb4572
1033,preferred_short_invalid_in_openmrs,demoted_short,TC-PCR,309961dc-f490-55ef-9a1a-d8f977776cdf
1033,preferred_short_invalid_in_openmrs,added_clear_preferred_spanish_synonym,PCR para Chlamydia trachomatis,991c722e-50a5-5437-aeb0-55523711893a
83517,duplicate_nonshort_same_concept_locale,converted_duplicate_to_index_term,Rosa de bengala,5b927165-186d-413a-b223-cf9332777370
166353,duplicate_nonshort_same_concept_locale,converted_duplicate_to_index_term,Órgano genital femenino,2d2bc072-e3c6-4be7-bb60-5501ec497e30
166349,duplicate_nonshort_same_concept_locale,converted_duplicate_to_index_term,Nervio periférico del miembro superior,9f8fa454-2265-457b-9c6e-c02adf4522a9
166332,duplicate_nonshort_same_concept_locale,converted_duplicate_to_index_term,Nervio plantar medial,b3e67e0a-f331-4146-8e27-d154360a46d7
166331,duplicate_nonshort_same_concept_locale,converted_duplicate_to_index_term,Nervio mediano,d130f607-0564-44fb-ac49-0fe3ea1b6f17
166281,duplicate_nonshort_same_concept_locale,converted_duplicate_to_index_term,Párpado superior,35e9a32a-e2c6-4d21-9d23-b9df013b57c0
166273,duplicate_nonshort_same_concept_locale,converted_duplicate_to_index_term,Cuerpo uterino,dbd58f82-b00a-4f26-928c-8762196236cf
166271,duplicate_nonshort_same_concept_locale,converted_duplicate_to_index_term,Istmo del útero,e2a37029-d54e-4aaf-a74b-d335c49e044b
121492,duplicate_nonshort_same_concept_locale,converted_duplicate_to_index_term,displasia arteriohepática,f59d6b0c-b363-428e-986d-46e8c6870298
118492,duplicate_nonshort_same_concept_locale,converted_duplicate_to_index_term,exantema súbito,7b477e1d-bfdd-4e65-af3a-783ffcd2d556
117045,duplicate_nonshort_same_concept_locale,converted_duplicate_to_index_term,artritis infecciosa,25ee3fb9-651a-4f92-b0db-cd4635c656c2
115427,duplicate_nonshort_same_concept_locale,converted_duplicate_to_index_term,miocarditis infecciosa,af289d07-55c5-4ec5-8993-1965d8f42685
83517,duplicate_name_in_import_log,promoted_2026_fsn,Rosa de Bengala,ae2434c0-7fea-4466-8f66-e7c782e7f125
